context,scaled_dependencies
"Основным источником негативного воздействия на растения и почвенный покров является повышенный уровень загрязнения атмосферного воздуха, в особенности диоксидом серы и аэрозолями тяжёлых металлов. Отмечается высокое содержание в почвах фтора, распространяемого алюминиевым заводом в Шелехове. По результатам обследования почв города и его окрестностей 1997 года, почвы этого района были отнесены к допустимой категории загрязнения. Электромагнитный фон городской среды превышает допустимый уровень в 40 % случаев. На территории города расположено также несколько предприятий-пользователей радионуклидных веществ.",0.03
"Стремление достичь предельных значений ёмкости для NAND-устройств привело к стандартизации брака — праву выпускать и продавать микросхемы с некоторым процентом бракованных ячеек и без гарантии непоявления новых bad-блоков в процессе эксплуатации. Чтобы минимизировать потери данных, каждая страница памяти снабжается небольшим дополнительным блоком, в котором записывается контрольная сумма, информация для восстановления при одиночных битовых ошибках, информация о сбойных элементах на этой странице и количестве записей на эту страницу.",0.1
"Несмотря на сильную конкуренцию и длинную дистанцию, целый ряд теннисистов одерживал на Уимблдоне многочисленные победы. У женщин рекордсменками с 20 титулами во всех разрядах являются Билли Джин Кинг и Мартина Навратилова; всего на одну победу меньше у Элизабет Райан, все свои победы одержавшей в парных разрядах — 12 в женском и 7 в смешанном. У мужчин рекордсменом по общему числу титулов — 13 в одиночном и мужском парном разрядах — является Лоуренс Дохерти, многие из своих побед одержавший в раундах вызова. В одиночном разряде рекордное число титулов у женщин — 9 (Навратилова), у мужчин — 8 (Роджер Федерер)[103][104][74].",0.07
В октябре 1958 года на самолёте Ил-12 трансконтинентальный полёт совершил советский лётчик В. М. Перов. Полёт проходил по маршруту станция Мирный — станция Советская — Южный полюс — станция Мак-Мердо. 4-я Антарктическая экспедиция под руководством Дралкина А. Г. осуществила санно-тракторный поход по маршруту станция Комсомольская — станция Восток — Южный полюс и достигла полюса 26 декабря 1959 года. Вездеходный поход по маршруту станция Мак-Мердо — Южный полюс в 1961 году совершили американские учёные под руководством А. Крэри[3].,0.05
"Организация платёжной системы не должна отставать от современного ей уровня технологического развития и должна обновляться, чтобы сохранить свою эффективность в снижении или элиминировании финансовых расчётных рисков национальной экономики. Претензии на международный финансовый центр, не поддержанные передовой и конкурентоспособной по сравнению с другими странами платёжной системой, не имеют под собой никаких реалистических оснований. Технологическая эффективность платёжной системы определяет эффективность, с которой деньги используются в национальной экономике, и снижает риски при расчетах.",0.06
"Ещё одна не менее важная структура цитоскелета отвечает за разделение цитоплазмы (цитокинез) и, как следствие, за распределение клеточных органелл. В животных клетках за цитокинез отвечает сократимое кольцо из актиновых и миозиновых филаментов. В большинстве клеток высших растений из-за наличия жёсткой клеточной стенки цитокинез протекает с образованием клеточной пластинки в плоскости между двумя дочерними клетками. При этом область образования новой клеточной перегородки определяется заранее предпрофазным пояском из актиновых микрофиламентов, а поскольку актин участвует также в формировании клеточных септ у грибов, возможно, что он направляет цитокинез у всех эукариот[19].",0.06
"Специфический иммунный ответ направлен на защиту от конкретного антигена. Он включает в себя клеточные и гуморальные механизмы. Системный специфический иммунный ответ активируется миграцией антигенпрезентирующих клеток в лимфоидные органы, которые запускают размножение специфических групп защитных клеток. Среди них выделяют T- и B-лимфоциты. Эти клеточные системы обеспечивают крайне специфичные реакции на конкретный антиген и, как упоминалось выше, подвергаются клональной экспансии. Кроме того, специфические иммунные механизмы включают также механизмы иммунологической памяти, в которых запечатлевается информация о данном антигене, и при новом столкновении с этим антигеном она обеспечивает более быстрый и эффективный иммунный ответ.",0.04
"В 1609—1611 годах, после нескольких путешествий для исследований для английских купцов Северо-Восточного прохода в Индию из Англии, англичанин Генри Гудзон на службе Голландской Ост-Индской компании (VOC) исследовал район современного города Нью-Йорк, пытаясь найти западный путь в Азию. Он исследовал реку Гудзон, заложив фундамент голландской колонизации региона. Последняя экспедиция Гудзона далее направилась на север в поисках Северо-Западного прохода, открыв Гудзонов пролив и Гудзонов залив. После зимовки в заливе Джеймса Гудзон попытался продолжить свой поход весной 1611 года, но команда подняла мятеж и его с частью команды высадили в лодку, а корабль вернулся.",0.07
"Крылатые насекомые (лат. Pterygota) — подкласс насекомых, в котором объединены все виды, оснащённые крыльями, включая тех, которые в ходе эволюции вновь утратили способность к полёту (к примеру, блохи или вши). К крылатым насекомым относится бо́льшая часть всех насекомых, за исключением первичнобескрылых щетинохвосток (Zygentoma) и древнечелюстных (Archaeognatha). С развитием у насекомых крыльев был связан также ряд морфологических и физиологических изменений, из-за которых можно с уверенностью делать вывод, что процесс в эволюции насекомых, приведший к способности насекомых летать, произошёл всего один раз и все крылатые насекомые являются потомками одного общего вида.",0.07
"По данным Росгидромета[38] на территории Российской Федерации мощность экспозиционной дозы γ-излучения (МЭД)[примечание 1] находится в основном в пределах колебаний естественного радиационного фона (9–16 мкР/ч). Превышение значений МЭД зафиксировано на загрязненных после аварии на ЧАЭС территориях в Брянской, Калужской, Курской, Орловской и Тульской областях в диапазоне 19–25 мкР/ч. В 100-км зонах радиохимических предприятий и АЭС наблюдаются кратковременные повышения МЭД до 20 мкР/ч, однако среднегодовые значения находятся в пределах колебания фона – 9–14 мкР/ч.",0.08
"Многоукладность экономики означает существование при данной экономической системе различных форм хозяйствования. Сохраняются в ряде стран натурально-общинные формы, основанной на общинном ведении хозяйства и натуральных формах распределения созданного продукта. Огромное значение имеет мелкотоварное производство. Оно основано на частной собственности на производственные ресурсы и личном труде их владельца. В странах с традиционной системой мелкотоварное производство представлено многочисленными крестьянскими и ремесленными хозяйствами, которые доминируют в экономике.",0.03
"Первый чемпионат мира по парному катанию в современном виде (мужчина и женщина) был проведён в 1908 году, причём отдельно от других видов фигурного катания. В первые годы наибольших достижений добились немецкая, австрийская, финская и французская школы. Так, пара из Германии Анна Хюблер и Генрих Бургер выигрывали чемпионат мира в 1908—1910 годах и Олимпийские игры 1908 года), Макси Хербер и Эрнст Байер также три года подряд становились чемпионами мира (1936—1939) и выиграли Олимпийские игры в 1936 году. Хелен Энгельманн (Helene Engelmann) вначале с партнёром Карлом Мейстриком, а затем с Альфредом Бергером побеждала на чемпионатах мира 1913, 1922 и 1924 годов, а также выиграла Олимпийские игры 1924 года. Людовика и Вальтер Якобссон побеждали в 1914 и 1923 годах, а также на Олимпийских играх 1920 года. (Андре Жоли и Пьер Брюне четыре раза становились чемпионами мира (1926, 1928, 1930 и 1932 годы) и дважды олимпийскими чемпионами (1928 и 1932 годы).",0.07
"Площадь сельскохозяйственных угодий — 3,154 млн га, в том числе пашни — 847 тыс. га. В структуре земельных угодий наибольший удельный вес занимают сенокосы и пастбища. Земли характеризуются невысоким плодородием, почвы подвержены ветровой и водной эрозии. 82 % сельскохозяйственных земель, 92 % поголовья крупного рогатого скота находится в частной собственности. Государственные сельскохозяйственные предприятия, относящиеся к федеральной и республиканской собственности, занимают 8,7 % угодий. В 2006 году в хозяйствах всех категорий произведено продукции на 10,4 млрд руб.",0.02
"Писатель, ещё при жизни признанный главой русской литературы. Творчество Льва Толстого ознаменовало новый этап в русском и мировом реализме, выступив мостом между классическим романом XIX века и литературой XX века. Лев Толстой оказал сильное влияние на эволюцию европейского гуманизма, а также на развитие реалистических традиций в мировой литературе. Произведения Льва Толстого многократно экранизировались и инсценировались в СССР и за рубежом; его пьесы ставились на сценах всего мира. Лев Толстой был самым издаваемым в СССР писателем за 1918—1986 годы: общий тираж 3199 изданий составил 436,261 млн экземпляров.",0.04
"Уимблдонский турнир проходит на территории Всеанглийского клуба лаун-тенниса и крокета (англ. The All England Lawn Tennis & Croquet Club, AELTC) в Уимблдоне (Лондон). Территория клуба в Уимблдоне, включая автомобильные стоянки, превышает 42 акра (17 га)[79], из которых 13,5 акра занимают собственно корты чемпионата и окружающая инфраструктура[80]. Руководство клуба изыскивает возможности для расширения его территории; в частности, в 2015 году была сделана попытка получить в аренду территорию площадью 73 акра, в настоящее время занимаемую Уимблдонским гольф-клубом. Однако члены гольф-клуба отклонили предлагаемую сделку, по условиям которой AELTC был готов выплатить им 25 миллионов фунтов за досрочное прекращение действующего договора об аренде[81]. К концу первого десятилетия XXI века клуб также располагал тренировочным комплексом на шесть травяных кортов в Райнз-парке — близлежащем районе боро Мертон[82].",0.06
"Эмоции эволюционно развились из простейших врождённых эмоциональных процессов, сводящихся к органическим, двигательным и секреторным изменениям, до значительно более сложных, утративших инстинктивную основу процессов, имеющих отчётливую привязку к ситуации в целом, то есть выражающих личное оценочное отношение к имеющимся или возможным ситуациям, к своему участию в них. К первичным витальным (связанным с выживанием) эмоциям, унаследованным человеком, относятся страх, ярость, боль и тому подобные эмоции[4].",0.1
"Вели́кие географи́ческие откры́тия — период в истории человечества, начавшийся в XV веке и продолжавшийся до XVII века, в ходе которого европейцы открывали новые земли и морские маршруты в Африку, Америку, Азию и Океанию в поисках новых торговых партнёров и источников товаров, пользовавшихся большим спросом в Европе. Историки обычно соотносят Великие географические открытия [1][2] с первопроходческими дальними морскими путешествиями португальских и испанских путешественников в поисках альтернативных торговых путей в Индии за золотом, серебром и пряностями[3].",0.11
"Подшипник скольжения — опора или направляющая механизма или машины, в которой трение происходит при скольжении сопряжённых поверхностей. Радиальный подшипник скольжения представляет собой корпус, имеющий цилиндрическое отверстие, в которое вставляется рабочий элемент — вкладыш, или втулка из антифрикционного материала и смазывающее устройство. Между валом и отверстием втулки подшипника имеется зазор, заполненный смазочным материалом, который позволяет свободно вращаться валу. Расчёт зазора подшипника, работающего в режиме разделения поверхностей трения смазочным слоем, производится на основе гидродинамической теории смазки.",0.05
"В 1960—70-х годах была проведена масштабная реконструкция фасада с целью придать ему первоначальный вид. Двухъярусный фасад, украшенный колоннами, имеет вид театральной декорации. Колонны нижнего яруса, которые стоят на подиуме центральной лестницы из девяти ступеней, сгруппированны попарно в четыре ряда и увенчанны капителями коринфского ордера. Колонны верхнего яруса имеют меньшие размеры. Треугольные и полукруглые тимпаны венчают колонны трёх центральных пар. На нижнем этаже за сценично оформленною колоннадою видно три портала в обрамлении тончайшего орнамента, имитирующего рельефный фриз. Над порталами находятся три больших проёма окон. Вход в библиотеку начинался с 9-ступенчатой лестницы. На верхнем подиуме стояли четыре скульптуры, олицетворявшие Премудрость, Добродетель, Мысль и Познание[47].",0.03
"Часто договор о передаче ноу-хау называют беспатентной лицензией, по которой передаются сведения технического, организационного, экономического и другого характера, по различным причинам не получившие правовой (патентной) охраны на территории действия соглашения. Так как важнейшим свойством ноу-хау является его неизвестность третьим лицам, то обеспечение конфиденциальности соглашения о передаче ноу-хау является необходимым условием договора о передаче ноу-хау. Другим существенным условием договора о передаче ноу-хау, как правило, является запрещение выдачи сублицензий лицензиатом. Содержание использования ноу-хау определяется соглашением сторон.",0.06
"Фишер успевал следить не только за соревнованиями среди мужчин, он изучал и партии из женских турниров, стараясь и там найти свежие идеи, хотя в целом не считал женщин равноценными соперниками в шахматной игре и вообще интеллектуально равными мужчинам. Известно высказывание Фишера, опубликованное в 1962 году в журнале Harper: Они все слабые, все женщины. Они глупы в сравнении с мужчинами. Им не надо играть в шахматы, вы понимаете. Они как начинающие. Они проигрывают каждую отдельно взятую партию против мужчины. Нет на свете женщины, которую я бы не победил, дав фору в коня .",0.03
"Отрывок из одного сообщения третьего собора, созванного в Константинополе, подтверждает, что Святая Мария вместе с Иоанном Богословом действительно переселилась в Эфес. О жизни после Рождества и о смерти матери Иисуса, Святой Марии, подробных сведений не имеется. Сведения, данные апостолами Лукой и Иоанном, носят относительно противоречивый характер. В Евангелие от Луки Мария изображается как человек глубоко верующий и имеющий большую надежду на будущее. Апостол Лука описывает жизнь матери Иисуса до вознесения Христова[36].",0.03
"В середине XVI века на Руси начали печатать книги, и Иван Фёдоров был первым известным русским печатником. В XVII веке печать получила широкое распространение, и гравюры на дереве стали особенно популярны. Это привело к развитию особой формы народного искусства, известной как лубок, которая сохранялась в России и в XIX веке. Ряд технологий эпохи Возрождения был принят русскими из Европы довольно рано, и, усовершенствованные, впоследствии они стали частью сильной внутренней традиции. В основном это были военные технологии, такие как пушечное литьё, восходящее ещё к XV веку. Царь-пушка, которая является крупнейшей по калибру пушкой в мире, была отлита в 1586 году мастером по имени Андрей Чохов, и отличается также своим богатым убранством. Ещё одна технология, которая, согласно одной из гипотез, первоначально была привезена из Европы итальянцами, привела к созданию водки. Ещё в 1386 году генуэзские послы впервые принесли живую воду в Москву и представили её великому князю Дмитрию Донскому. Генуэзцы, вероятно, получили этот напиток с помощью алхимиков Прованса, которые использовали разработанный арабами перегонный аппарат для преобразования виноградного сусла в спирт. Московский монах Исидор использовал эту технологию для производства первой оригинальной русской водки в 1430 году.",0.05
"Скорость ветра на метеорологических станциях большинства стран мира обычно измеряют на высоте 10 м и усредняют за 10 минут. Исключение составляют США, где скорость усредняют за 1 минуту[39], и Индия, где её усредняют за 3 минуты[40]. Период усреднения имеет важное значение, поскольку, например, скорость постоянного ветра, измеренная за 1 минуту, обычно на 14 % выше значения, измеренного за 10 минут[41]. Короткие периоды быстрого ветра исследуют отдельно, а периоды, за которые скорость ветра превышает усредненную за 10 минут скорость как минимум на 10 узлов (5.14 м/с), называются порывами. Шквалом называется удвоение скорости ветра, сильнее определенного порога, который длится минуту или больше.",0.06
"В задачи фонологии, помимо частноязыковых описаний, входит описание различных систем гласных и согласных фонем. Структура этих систем определяется набором и типом формирующих эти системы оппозиций, что, в свою очередь, требует предварительного выделения набора релевантных для данного языка фонологических признаков и приписывания этих признаков каждой фонеме: даже для структурно и генетически близких языков иногда нужно принимать разные решения. Например, в части диалектов ирландского языка противопоставляются глухие придыхательные и звонкие непридыхательные согласные, причём смыслоразличительным является признак глухости-звонкости, а придыхание является предсказуемым. Напротив, в других диалектах звонкость не имеет фонологического значения, автоматически сопровождая дистинктивную непридыхательность. При этом существенно, что и в тех, и в других диалектах фрикативные противопоставлены по звонкости-глухости; соответственно, структура консонантной системы в целом в этих двух группах диалектах различается весьма сильно.",0.07
